,gamemode,battletime,p1.name,p2.name,p1.crowns,p2.crowns,p1.card_1,p1.card_2,p1.card_3,p1.card_4,p1.card_5,p1.card_6,p1.card_7,p1.card_8,p2.card_1,p2.card_2,p2.card_3,p2.card_4,p2.card_5,p2.card_6,p2.card_7,p2.card_8
19,Ladder,20211007T003307.000Z,<c2>PcGAmer,DESTROYER101,0,1,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,Knight,Hog Rider,Skeletons,Earthquake,Tesla,Firecracker,Tornado,The Log
20,Ladder,20211006T212935.000Z,<c2>PcGAmer,❤FARIDMAGED❤,1,0,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,Witch,Dark Prince,Mini P.E.K.K.A,Prince,P.E.K.K.A,Valkyrie,Minion Horde,Arrows
21,Ladder,20211006T192701.000Z,<c2>PcGAmer,Chubbsy,1,0,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,Lumberjack,Mega Minion,Cannon Cart,Golem,Electro Dragon,Tornado,Bomber,Arrows
22,Ladder,20211006T192216.000Z,<c2>PcGAmer,SR_DRACO_,1,0,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,Prince,Valkyrie,Musketeer,Fireball,Spear Goblins,The Log,Fire Spirit,Zap
23,Ladder,20211006T185042.000Z,<c2>PcGAmer,☆•Ayoub•❤,1,0,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,Barbarian Barrel,Royal Hogs,Zappies,Flying Machine,Goblin Cage,Fireball,Royal Recruits,Electro Spirit
24,Ladder,20211006T184516.000Z,<c2>PcGAmer,<c5>♥️薩盧姆 │ FOX,1,0,Hog Rider,Fireball,Skeletons,Ice Golem,Cannon,The Log,Musketeer,Ice Spirit,Bomber,Valkyrie,Hog Rider,Zap,Minions,Fireball,Cannon,Musketeer
0,Ladder,20211007T071231.000Z,なかぽろん,CHAMPION,0,1,Ice Golem,Hog Rider,Cannon,Fireball,Ice Spirit,Skeletons,Musketeer,The Log,Mega Knight,Mega Minion,Balloon,Miner,Arrows,Fisherman,Tombstone,Hunter
1,Ladder,20211007T070715.000Z,なかぽろん,3freeT,0,1,Ice Golem,Hog Rider,Cannon,Fireball,Ice Spirit,Skeletons,Musketeer,The Log,Barbarians,Inferno Dragon,Zap,Fireball,Lava Hound,Balloon,Tombstone,Skeleton Dragons
2,Ladder,20211007T065801.000Z,なかぽろん,EsssBeee,1,0,Ice Golem,Hog Rider,Cannon,Fireball,Ice Spirit,Skeletons,Musketeer,The Log,Valkyrie,Hog Rider,Goblins,Ice Spirit,Executioner,Tornado,Rocket,The Log
3,Ladder,20211007T064422.000Z,なかぽろん,⚠Ricardo⚠,0,3,Ice Golem,Hog Rider,Cannon,Fireball,Ice Spirit,Skeletons,Musketeer,The Log,Zap,Arrows,Minions,Mega Minion,Fireball,Giant,Dark Prince,Prince
4,Ladder,20211007T064119.000Z,なかぽろん,SL I Pedi⚡,0,1,Ice Golem,Hog Rider,Cannon,Fireball,Ice Spirit,Skeletons,Musketeer,The Log,Lumberjack,Balloon,Tornado,Barbarian Barrel,Inferno Dragon,Bowler,Electro Dragon,Freeze
5,Ladder,20211007T063252.000Z,なかぽろん,BRK Wenwen,1,0,Ice Golem,Hog Rider,Cannon,Fireball,Ice Spirit,Skeletons,Musketeer,The Log,P.E.K.K.A,Skeleton Army,Hog Rider,Arrows,Executioner,Tornado,Musketeer,Bats
6,Ladder,20211007T062325.000Z,なかぽろん,Higorziin,1,0,Ice Golem,Hog Rider,Cannon,Fireball,Ice Spirit,Skeletons,Musketeer,The Log,Mortar,Miner,Minion Horde,Goblin Gang,Cannon Cart,The Log,Spear Goblins,Fireball
7,Ladder,20211007T061411.000Z,なかぽろん,Erick,1,0,Ice Golem,Hog Rider,Cannon,Fireball,Ice Spirit,Skeletons,Musketeer,The Log,Goblin Giant,Prince,Goblin Gang,Fireball,Bats,Dark Prince,Spear Goblins,Zap
8,Ladder,20211007T060525.000Z,なかぽろん,ヨッシー,1,0,Ice Golem,Hog Rider,Cannon,Fireball,Ice Spirit,Skeletons,Musketeer,The Log,Giant,Balloon,Freeze,Skeletons,Minions,Minion Horde,Skeleton Army,Arrows
9,Ladder,20211007T060042.000Z,なかぽろん,SaRu❤️,1,0,Ice Golem,Hog Rider,Cannon,Fireball,Ice Spirit,Skeletons,Musketeer,The Log,Mega Knight,Balloon,Fireball,Barbarian Barrel,Mega Minion,Lumberjack,Zappies,Mother Witch
10,Ladder,20211007T055726.000Z,なかぽろん,Money,0,1,Ice Golem,Hog Rider,Cannon,Fireball,Ice Spirit,Skeletons,Musketeer,The Log,Royal Giant,Mother Witch,Skeletons,Fisherman,Mega Minion,Electro Spirit,Fireball,The Log
11,Ladder,20211007T050948.000Z,なかぽろん,Obito Uchiha,0,1,Ice Golem,Hog Rider,Cannon,Fireball,Ice Spirit,Skeletons,Musketeer,The Log,Hog Rider,Musketeer,Fireball,Cannon,Ice Golem,The Log,Skeletons,Fire Spirit
12,Ladder,20211007T050526.000Z,なかぽろん,むすぶ,0,1,Ice Golem,Hog Rider,Cannon,Fireball,Ice Spirit,Skeletons,Musketeer,The Log,Cannon Cart,Goblin Cage,Fireball,Royal Hogs,Skeleton Dragons,Skeletons,Mother Witch,The Log
13,Ladder,20211007T050204.000Z,なかぽろん,いそゆう,0,1,Ice Golem,Hog Rider,Cannon,Fireball,Ice Spirit,Skeletons,Musketeer,The Log,Skeletons,Bomb Tower,Ice Golem,Musketeer,Balloon,Barbarian Barrel,Giant Snowball,Miner
14,Ladder,20211007T045642.000Z,なかぽろん,Ruhrpott I Omar,1,0,Ice Golem,Hog Rider,Cannon,Fireball,Ice Spirit,Skeletons,Musketeer,The Log,Skeletons,Royal Giant,Mega Minion,Fisherman,Mother Witch,Electro Spirit,Fireball,The Log
15,Ladder,20211007T045155.000Z,なかぽろん,Biggriz53,0,1,Ice Golem,Hog Rider,Cannon,Fireball,Ice Spirit,Skeletons,Musketeer,The Log,The Log,Fireball,Minion Horde,Goblin Gang,Royal Giant,Sparky,Inferno Tower,Zap
16,Ladder,20211007T000810.000Z,なかぽろん,Vortex❤️Cycle,1,0,Ice Golem,Hog Rider,Cannon,Fireball,Ice Spirit,Skeletons,Musketeer,The Log,Valkyrie,Bomb Tower,Spear Goblins,Bats,Fireball,The Log,Wall Breakers,Miner
17,Ladder,20211007T000355.000Z,なかぽろん,recahl,0,1,Ice Golem,Hog Rider,Cannon,Fireball,Ice Spirit,Skeletons,Musketeer,The Log,Giant,Prince,Zap,Electro Wizard,Mega Minion,Dark Prince,Fireball,Miner
18,Ladder,20211006T165240.000Z,なかぽろん,witzac,1,0,Ice Golem,Hog Rider,Cannon,Fireball,Ice Spirit,Skeletons,Musketeer,The Log,Bowler,Lumberjack,Freeze,Tornado,Inferno Dragon,Baby Dragon,Balloon,Barbarian Barrel
19,Ladder,20211006T161427.000Z,なかぽろん,Diluzzzz,1,0,Ice Golem,Hog Rider,Cannon,Fireball,Ice Spirit,Skeletons,Musketeer,The Log,Arrows,Fireball,Minions,Mega Minion,Zap,Giant,Dark Prince,Prince
0,Ladder,20211006T084437.000Z,Felix El Grande,ㅤㅤ,1,0,Hog Rider,Ice Golem,Musketeer,Electro Spirit,Skeletons,Cannon,The Log,Fireball,Mega Knight,Prince,Elite Barbarians,Arrows,Rage,Wizard,Bandit,Bats
1,Ladder,20211006T084115.000Z,Felix El Grande,.:ALFA:.,1,0,Hog Rider,Ice Golem,Musketeer,Electro Spirit,Skeletons,Cannon,The Log,Fireball,Lumberjack,Inferno Dragon,Balloon,Freeze,Electro Dragon,Bowler,Barbarian Barrel,Tornado
2,Ladder,20211006T083402.000Z,Felix El Grande,yesno,1,0,Hog Rider,Ice Golem,Musketeer,Electro Spirit,Skeletons,Cannon,The Log,Fireball,Goblin Hut,Furnace,Barbarian Barrel,Fireball,Zappies,Elite Barbarians,Flying Machine,Mother Witch
3,Ladder,20211006T083006.000Z,Felix El Grande,疯不觉,1,0,Hog Rider,Ice Golem,Musketeer,Electro Spirit,Skeletons,Cannon,The Log,Fireball,P.E.K.K.A,Royal Ghost,Electro Wizard,Zap,Magic Archer,Battle Ram,Bandit,Poison
4,Ladder,20211006T082450.000Z,Felix El Grande,Kuroro Lucifuru,1,2,Hog Rider,Ice Golem,Musketeer,Electro Spirit,Skeletons,Cannon,The Log,Fireball,Skeleton Army,Clone,Fireball,Lumberjack,Bats,Baby Dragon,Lava Hound,Flying Machine
5,Ladder,20211006T082139.000Z,Felix El Grande,SAHITYA,1,0,Hog Rider,Ice Golem,Musketeer,Electro Spirit,Skeletons,Cannon,The Log,Fireball,Ice Spirit,Skeletons,The Log,Ice Golem,Cannon,Fireball,Musketeer,Hog Rider
6,Ladder,20211006T081622.000Z,Felix El Grande,かみじょの,1,3,Hog Rider,Ice Golem,Musketeer,Electro Spirit,Skeletons,Cannon,The Log,Fireball,Lava Hound,Mega Minion,Skeleton Dragons,Flying Machine,Goblin Cage,Guards,Arrows,Miner
7,Ladder,20211006T080830.000Z,Felix El Grande,神龙大侠,1,0,Hog Rider,Ice Golem,Musketeer,Electro Spirit,Skeletons,Cannon,The Log,Fireball,Golem,Electro Dragon,Baby Dragon,Heal Spirit,Elite Barbarians,Lumberjack,Barbarian Barrel,Tornado
8,Ladder,20211006T080415.000Z,Felix El Grande,sofy,1,0,Hog Rider,Ice Golem,Musketeer,Electro Spirit,Skeletons,Cannon,The Log,Fireball,Royal Giant,Mother Witch,Royal Ghost,Fisherman,Mega Minion,Skeletons,The Log,Fireball
9,Ladder,20211006T075953.000Z,Felix El Grande,ありあり,1,0,Hog Rider,Ice Golem,Musketeer,Electro Spirit,Skeletons,Cannon,The Log,Fireball,Balloon,Lumberjack,Musketeer,Inferno Dragon,Bomb Tower,Barbarian Barrel,Fire Spirit,Freeze
10,Ladder,20211006T075556.000Z,Felix El Grande,テリー,1,0,Hog Rider,Ice Golem,Musketeer,Electro Spirit,Skeletons,Cannon,The Log,Fireball,Ice Golem,Musketeer,Hog Rider,Cannon,Fire Spirit,Skeletons,Fireball,The Log
11,Ladder,20211006T075219.000Z,Felix El Grande,Mr hiroiku,1,0,Hog Rider,Ice Golem,Musketeer,Electro Spirit,Skeletons,Cannon,The Log,Fireball,Battle Healer,Rage,Mother Witch,Arrows,Elixir Golem,Night Witch,Electro Dragon,Elite Barbarians
12,Ladder,20211006T074830.000Z,Felix El Grande,christiaan,0,1,Hog Rider,Ice Golem,Musketeer,Electro Spirit,Skeletons,Cannon,The Log,Fireball,Skeleton Dragons,Mother Witch,Fireball,Royal Hogs,Goblin Cage,Cannon Cart,The Log,Skeletons
13,Ladder,20211006T074422.000Z,Felix El Grande,DR.ALWOSABI 99,1,0,Hog Rider,Ice Golem,Musketeer,Electro Spirit,Skeletons,Cannon,The Log,Fireball,Rocket,The Log,Tornado,Executioner,Valkyrie,Hog Rider,Ice Spirit,Goblins
14,Ladder,20211006T073226.000Z,Felix El Grande,なかピー,1,0,Hog Rider,Ice Golem,Musketeer,Electro Spirit,Skeletons,Cannon,The Log,Fireball,Miner,Fireball,Tornado,Balloon,Electro Wizard,Guards,Tesla,Giant Skeleton
15,Ladder,20211006T004556.000Z,Felix El Grande,⚡RAFAEL TM⚡,0,1,Hog Rider,Ice Golem,Musketeer,Electro Spirit,Skeletons,Cannon,The Log,Fireball,Bandit,Goblin Barrel,Prince,Rascals,Giant Snowball,Princess,Dart Goblin,Rocket
16,Ladder,20211006T004159.000Z,Felix El Grande,Luis-A,1,0,Hog Rider,Ice Golem,Musketeer,Electro Spirit,Skeletons,Cannon,The Log,Fireball,Goblin Barrel,Valkyrie,Prince,Inferno Tower,Skeleton Army,Goblin Gang,Fireball,Arrows
17,Ladder,20211006T003651.000Z,Felix El Grande,｢OLR™｣⚡Guizin⚡,0,1,X-Bow,Knight,Electro Spirit,Fireball,Skeletons,Tesla,The Log,Archers,Royal Giant,Mega Minion,Dark Prince,Mother Witch,Skeletons,Fisherman,Fireball,Barbarian Barrel
18,Ladder,20211006T003246.000Z,Felix El Grande,Trombini,1,2,X-Bow,Knight,Electro Spirit,Fireball,Skeletons,Tesla,The Log,Archers,Flying Machine,Skeleton Army,Poison,Baby Dragon,Lava Hound,Night Witch,Lumberjack,Clone
19,Ladder,20211006T002721.000Z,Felix El Grande,南城浅巷,0,1,X-Bow,Knight,Electro Spirit,Fireball,Skeletons,Tesla,The Log,Archers,Mega Knight,Royal Giant,Prince,Goblin Barrel,Dart Goblin,Bats,Princess,Skeleton Army
20,Ladder,20211006T002305.000Z,Felix El Grande,Prime_playa,0,1,X-Bow,Knight,Electro Spirit,Fireball,Skeletons,Tesla,The Log,Archers,Cannon Cart,Skeletons,Fireball,The Log,Mother Witch,Royal Hogs,Goblin Cage,Skeleton Dragons
21,Ladder,20211006T001749.000Z,Felix El Grande,KRETOS*,0,1,X-Bow,Knight,Electro Spirit,Fireball,Skeletons,Tesla,The Log,Archers,Royal Hogs,Fireball,Royal Recruits,The Log,Hunter,Cannon Cart,Dark Prince,Mother Witch
22,Ladder,20211006T001412.000Z,Felix El Grande,路西法,1,0,X-Bow,Knight,Electro Spirit,Fireball,Skeletons,Tesla,The Log,Archers,Magic Archer,P.E.K.K.A,Fireball,Goblin Cage,Graveyard,Arrows,Valkyrie,Electro Wizard
23,Ladder,20211006T000918.000Z,Felix El Grande,ÖLIVYX,1,0,X-Bow,Knight,Electro Spirit,Fireball,Skeletons,Tesla,The Log,Archers,P.E.K.K.A,Skeletons,Electro Spirit,Miner,Wall Breakers,Earthquake,Royal Delivery,Hunter
24,Ladder,20211006T000555.000Z,Felix El Grande,ShaSeb Feik,1,0,X-Bow,Knight,Electro Spirit,Fireball,Skeletons,Tesla,The Log,Archers,Goblin Gang,Hog Rider,Fireball,Inferno Tower,Skeleton Army,The Log,Princess,Bandit
1,Ladder,20211006T042822.000Z,✨Renaan Revolts,Mohammed,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Cannon,Skeletons,Ice Spirit,The Log,Sparky,Mega Knight,Inferno Dragon,Wizard,Skeleton Army,Prince,Skeleton Barrel,Fire Spirit
2,Ladder,20211006T042359.000Z,✨Renaan Revolts,elia,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Cannon,Skeletons,Ice Spirit,The Log,Goblin Drill,Fireball,Giant Snowball,Goblin Hut,Inferno Dragon,Skeleton Army,Witch,Mega Knight
3,Ladder,20211006T042006.000Z,✨Renaan Revolts,CHAMPION,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Cannon,Skeletons,Ice Spirit,The Log,Mega Knight,Mega Minion,Balloon,Miner,Arrows,Fisherman,Tombstone,Hunter
4,Ladder,20211006T041435.000Z,✨Renaan Revolts,indianboy23,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Cannon,Skeletons,Ice Spirit,The Log,Mega Knight,Balloon,Minion Horde,Inferno Tower,Bandit,Princess,Goblin Gang,Arrows
5,Ladder,20211006T041119.000Z,✨Renaan Revolts,canelo,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Cannon,Skeletons,Ice Spirit,The Log,P.E.K.K.A,Lightning,Ram Rider,Electro Wizard,Barbarian Barrel,Giant Snowball,Dark Prince,Baby Dragon
6,Ladder,20211006T040649.000Z,✨Renaan Revolts,"RTI""NEKO É MAU""",1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Cannon,Skeletons,Ice Spirit,The Log,Graveyard,Goblin Cage,Fireball,Barbarian Barrel,Tornado,Valkyrie,Baby Dragon,Mega Minion
7,Ladder,20211006T035517.000Z,✨Renaan Revolts,renzo cristal,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Cannon,Skeletons,Ice Spirit,The Log,Balloon,Arrows,Freeze,Witch,Valkyrie,Lumberjack,Mega Knight,Inferno Dragon
8,Ladder,20211006T035040.000Z,✨Renaan Revolts,最強 I えま,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Cannon,Skeletons,Ice Spirit,The Log,Valkyrie,Tesla,The Log,X-Bow,Ice Wizard,Tornado,Skeletons,Rocket
9,Ladder,20211006T034607.000Z,✨Renaan Revolts,Nova I venom™,1,2,Ice Golem,Hog Rider,Musketeer,Fireball,Cannon,Skeletons,Ice Spirit,The Log,Lava Hound,Baby Dragon,Flying Machine,Bats,Lumberjack,Skeleton Army,Clone,Arrows
10,Ladder,20211006T034210.000Z,✨Renaan Revolts,♨wataporon♨,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Cannon,Skeletons,Ice Spirit,The Log,Mortar,Goblins,Spear Goblins,Giant Snowball,Hog Rider,Valkyrie,Musketeer,Fireball
11,Ladder,20211006T033639.000Z,✨Renaan Revolts,maestro op crac,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Cannon,Skeletons,Ice Spirit,The Log,Lumberjack,Tornado,Electro Dragon,Bowler,Balloon,Inferno Dragon,Barbarian Barrel,Freeze
12,Ladder,20211006T033325.000Z,✨Renaan Revolts,Dz I Suffer❤️✨,0,3,Ice Golem,Hog Rider,Musketeer,Fireball,Cannon,Skeletons,Ice Spirit,The Log,Lava Hound,Baby Dragon,Lumberjack,Fireball,Bats,Flying Machine,Clone,Skeleton Army
13,Ladder,20211005T201429.000Z,✨Renaan Revolts,Meuhmeuh,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Cannon,Skeletons,Ice Spirit,The Log,Goblin Hut,Furnace,Valkyrie,Executioner,Goblins,Graveyard,Poison,Tornado
14,Ladder,20211005T170404.000Z,✨Renaan Revolts,Magic Jannik,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Cannon,Skeletons,Ice Spirit,The Log,Royal Giant,Fireball,Skeletons,Mother Witch,The Log,Fisherman,Mega Minion,Royal Ghost
15,Ladder,20211005T165919.000Z,✨Renaan Revolts,⚡OFA~Jacky⚡,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Cannon,Skeletons,Ice Spirit,The Log,Golem,Night Witch,Elite Barbarians,Mega Minion,Bomber,Skeleton Army,Arrows,Zap
16,Ladder,20211005T165457.000Z,✨Renaan Revolts,Esquire™,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Cannon,Skeletons,Ice Spirit,The Log,Bandit,Heal Spirit,Electro Wizard,Royal Ghost,Mother Witch,Elite Barbarians,Cannon Cart,Barbarian Barrel
17,Ladder,20211005T143432.000Z,✨Renaan Revolts,M O N K E 丨 モンケ,0,3,Ice Golem,Hog Rider,Musketeer,Fireball,Cannon,Skeletons,Fire Spirit,The Log,Archers,Balloon,Inferno Dragon,Royal Recruits,Fisherman,Lumberjack,Arrows,Freeze
18,Ladder,20211005T143135.000Z,✨Renaan Revolts,恍然如隔世,1,3,Ice Golem,Hog Rider,Musketeer,Fireball,Cannon,Skeletons,Fire Spirit,The Log,Inferno Dragon,Mega Knight,Bandit,Fireball,Hog Rider,Goblin Gang,Bats,Zap
19,Ladder,20211005T142639.000Z,✨Renaan Revolts,레전드훈장,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Cannon,Skeletons,Fire Spirit,The Log,Hog Rider,Skeleton Barrel,Zap,Valkyrie,Firecracker,The Log,Skeleton Army,Inferno Tower
20,Ladder,20211005T142319.000Z,✨Renaan Revolts,IG: der_Nasso,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Cannon,Skeletons,Fire Spirit,The Log,Golem,Night Witch,Barbarians,Arrows,Skeleton Dragons,Lightning,Fireball,Fisherman
21,Ladder,20211005T141958.000Z,✨Renaan Revolts,ＣＲＡＺＹ ＨＵＬＫ•שטן•,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Cannon,Skeletons,Fire Spirit,The Log,The Log,Fireball,Skeletons,Hunter,Three Musketeers,Royal Hogs,Royal Ghost,Ice Golem
22,Ladder,20211005T141501.000Z,✨Renaan Revolts,병진,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Cannon,Skeletons,Fire Spirit,The Log,Royal Giant,Musketeer,Fisherman,Heal Spirit,Electro Wizard,Goblin Cage,Fireball,The Log
23,Ladder,20211005T141145.000Z,✨Renaan Revolts,MINI☠️Joker♥️™,0,1,Ice Golem,Hog Rider,Musketeer,Fireball,Cannon,Skeletons,Fire Spirit,The Log,X-Bow,Rocket,Valkyrie,Skeletons,Electro Spirit,Tesla,The Log,Archers
24,Ladder,20211005T140601.000Z,✨Renaan Revolts,FXPRO,1,0,Ice Golem,Hog Rider,Musketeer,Fireball,Cannon,Skeletons,Fire Spirit,The Log,Skeleton Army,Witch,Fireball,Musketeer,Hog Rider,Giant,Valkyrie,Minion Horde
